"ID","Tipo","Epica","Nombre de la epica","Modulo","Titulo","Rol","Historia","Criterios de aceptacion","Reglas de negocio","Puntos","Release","Sprint","Depende de (HU)","Modulos requeridos","Habilitadora","Fundamento (OBL-ID)","Requiere contenido","Requiere validacion legal","Preguntas pendientes","Referencia ficha"
"HU-000-01","Historia","EP-000","Plataforma y requisitos transversales","-","Aislar los datos entre organizaciones clientes","Administrador de la organizacion","Como Administrador de la organizacion, quiero que ningun usuario de otra organizacion cliente pueda ver, buscar, listar ni exportar datos de mi organizacion, y que mi organizacion tampoco pueda ver los de otra, para tener la certeza de que la informacion de mi empresa esta separada por completo de la de otros clientes que usan la misma plataforma.","1. Dado un usuario autenticado con sesion activa en la Organizacion A, cuando consulta cualquier listado, expediente, tarea, alerta, reporte o resultado de busqueda dentro del sistema, entonces el resultado nunca incluye registros que pertenecen a la Organizacion B.
2. Dado que un usuario de la Organizacion A conoce o adivina el identificador de un expediente, documento o registro que pertenece a la Organizacion B, cuando intenta abrirlo de forma directa, entonces el sistema responde como si ese registro no existiera, sin confirmar ni negar su existencia.
3. Dado un reporte o un paquete exportado por un usuario de la Organizacion A, cuando el archivo se genera, entonces su contenido nunca incluye registros de otra organizacion, aunque los filtros elegidos coincidan con datos de otra organizacion.
4. Dado un evento generado por cualquier otro modulo (una tarea, una alerta, una notificacion o un evento de la bitacora de auditoria), cuando el sistema lo crea, entonces ese evento queda asociado a exactamente una organizacion y solo es visible para los usuarios de esa organizacion.
5. Dado un Auditor externo (invitado) o un Asesor externo invitado con acceso vigente a la Organizacion A, cuando consulta el sistema dentro de su ventana de invitacion, entonces solo ve informacion de la Organizacion A, incluso si la misma persona tiene otra invitacion vigente en una Organizacion C distinta.
6. Dado que el equipo de soporte del producto (proveedor) no tiene un acceso temporal autorizado y vigente sobre la Organizacion A, cuando cualquiera de sus integrantes intenta consultar informacion de esa organizacion, entonces el sistema deniega el acceso de la misma forma que a cualquier otro usuario ajeno a esa organizacion.","- Toda entidad de negocio (tratamiento, expediente, tarea, evidencia, documento, evento de auditoria) pertenece a exactamente una organizacion cliente, sin excepcion (principio de propietario unico aplicado a nivel de organizacion, 04_secciones/09_modelo_conceptual.md seccion 9.6).
- El sistema no ofrece en el MVP una vista consolidada que fusione registros de varias organizaciones: una vista de ese tipo, si existe, seria una capa de agregacion de solo lectura fuera de esta epica, nunca una fusion de registros.
- Negar el acceso a un registro de otra organizacion nunca revela si ese registro existe o no.","8","R1","1","","","Si","","","No","","04_secciones/09_modelo_conceptual.md seccion 9.6; 04_secciones/23_riesgos_del_producto.md RIESGO-SEG-01 y RIESGO-SEG-07; 04_secciones/11_roles_y_permisos.md seccion 11.5"
"HU-000-02","Historia","EP-000","Plataforma y requisitos transversales","-","Registrar cada accion relevante en la bitacora de auditoria","Auditor (interno)","Como Auditor (interno), quiero que el sistema registre automaticamente, en una bitacora unica de solo adicion, toda creacion, cambio de estado, aprobacion, rechazo, exportacion, intento bloqueado y lectura de informacion sensible que ocurra en cualquier modulo, para poder demostrar en cualquier momento quien hizo que, cuando y con que resultado, sin que nadie pueda alterar ese registro despues.","1. Dado que en cualquier modulo ocurre una creacion, un cambio de estado, una aprobacion, un rechazo, una exportacion o un intento bloqueado o rechazado, cuando ese evento ocurre, entonces la bitacora de auditoria (AuditLog) agrega una entrada nueva con la marca de tiempo, el usuario o Sistema, el modulo y la entidad afectada, el tipo de evento y, cuando aplique, el valor anterior y el valor nuevo.
2. Dado que una automatizacion del sistema ejecuta una accion sin que una persona la dispare directamente, cuando esa accion ocurre, entonces la bitacora registra el evento con Sistema como usuario, en vez de dejarlo sin registrar.
3. Dado que alguien consulta una Evidencia marcada con nivel de sensibilidad Datos personales sensibles o Informacion tecnica de seguridad sensible, cuando abre esa Evidencia, entonces la bitacora registra quien la consulto y cuando, ademas de cualquier otro evento sobre ella.
4. Dado un evento ya registrado en la bitacora, cuando cualquier rol, incluido el Administrador de la organizacion, intenta editarlo o eliminarlo, entonces el sistema rechaza la accion sin excepcion, porque la bitacora es de solo escritura por adicion.
5. Dado que un modulo de negocio queda deshabilitado, archivado o dado de baja, cuando eso ocurre, entonces los eventos que ya existen en la bitacora para ese modulo permanecen intactos y consultables.
6. Dado que se activa o revierte la bandera del doble estado de la reforma 659, cuando ese cambio ocurre, entonces la bitacora registra el evento con quien lo autorizo y la fecha, igual que cualquier otro cambio de estado relevante.","- El AuditLog es una bitacora de solo escritura por adicion (append-only), sin funcion de edicion ni borrado para ningun rol, ni siquiera el Administrador (02_validacion/22_anti_features.md item 19; 04_secciones/13_evidencia_y_auditoria.md seccion 13.3.4).
- El AuditLog no tiene modulo propietario unico: cada modulo escribe sus propios eventos (04_secciones/13_evidencia_y_auditoria.md seccion 13.3.1).
- Los campos minimos de cada evento son marca de tiempo, usuario o Sistema, modulo y entidad de origen, tipo de evento, valor anterior y nuevo cuando aplique, y motivo cuando la accion de origen lo exige (04_secciones/13_evidencia_y_auditoria.md seccion 13.3.3, propuesta de esa seccion a partir del patron repetido en las fichas).
- Cada evento se conserva, como minimo, el mismo plazo que el registro o expediente al que pertenece (04_secciones/13_evidencia_y_auditoria.md seccion 13.3.6).","8","R1","1","","","Si","OBL-PRIN-03","","No","","04_secciones/13_evidencia_y_auditoria.md secciones 13.1.3, 13.3.1 a 13.3.8; 02_validacion/22_anti_features.md item 19; 04_secciones/09_modelo_conceptual.md seccion 9.1.5"
"HU-000-03","Historia","EP-000","Plataforma y requisitos transversales","-","Consultar la bitacora de auditoria","Auditor (interno)","Como Auditor (interno), quiero consultar y filtrar la bitacora de auditoria de todos los modulos por modulo, usuario, tipo de evento y periodo, para poder revisar quien hizo que y cuando durante una revision interna o una auditoria, sin depender de pedirlo modulo por modulo.","1. Dado que el Auditor (interno) abre la consulta de la bitacora de auditoria, cuando aplica un filtro por modulo, por usuario, por tipo de evento o por un rango de fechas, entonces el sistema muestra solo los eventos de su propia organizacion que cumplen esos filtros.
2. Dado que el Administrador de la organizacion abre la misma consulta, cuando la usa, entonces tambien puede ver y filtrar la bitacora completa de su organizacion, en modo de solo lectura.
3. Dado un usuario que no tiene el rol Auditor (interno) ni el rol Administrador de la organizacion, cuando intenta abrir la consulta general de la bitacora de auditoria, entonces el sistema deniega el acceso a esa vista general.
4. Dado que el Auditor (interno) o el Administrador consulta un evento de la bitacora, cuando revisa la pantalla, entonces no encuentra ninguna opcion para editar, anotar sobre, ocultar o eliminar ese evento.
5. Dado que el Auditor externo (invitado) tiene una invitacion vigente y acotada a un caso o modulo especifico, cuando consulta la bitacora, entonces solo ve los eventos relacionados con ese caso o modulo, no la bitacora completa de la organizacion.","- El AuditLog es visible para Auditor y Administrador (02_validacion/22_anti_features.md item 19; 04_secciones/13_evidencia_y_auditoria.md seccion 13.3.5).
- El rol Auditor, interno o externo, es siempre de solo lectura sobre la bitacora (04_secciones/13_evidencia_y_auditoria.md seccion 13.3.5).
- Cada ficha de modulo tambien muestra, dentro de su propio historial, los eventos que le corresponden a los roles que ya tienen acceso a ese expediente; esta consulta transversal no reemplaza esa vista propia de cada modulo.","3","R1","20","HU-000-02","","No","OBL-PRIN-03","","No","","04_secciones/13_evidencia_y_auditoria.md secciones 13.3.5 y 13.3.7"
"HU-000-04","Historia","EP-000","Plataforma y requisitos transversales","-","Generar huella de integridad y manifiesto al exportar","Auditor (interno)","Como Auditor (interno), quiero que todo modulo que exporte un paquete de archivos obtenga, del mismo servicio comun, una huella de integridad por archivo y un manifiesto del conjunto completo, para poder demostrar despues, ante la organizacion, un cliente o la ACE, que un paquete exportado no fue alterado tras su salida del sistema.","1. Dado que un modulo solicita exportar uno o varios archivos como un paquete, cuando el servicio comun de exportacion procesa la solicitud, entonces calcula una huella de integridad individual para cada archivo incluido.
2. Dado que ya se calculo la huella de cada archivo del paquete, cuando el servicio termina de procesarlos, entonces genera ademas un manifiesto unico que lista cada archivo con su huella y una huella global del conjunto completo.
3. Dado un archivo exportado junto con su huella y su manifiesto, cuando alguien recalcula la huella de ese archivo mas adelante, entonces la huella coincide con la original si el archivo no cambio, y no coincide si el archivo fue alterado.
4. Dado que el calculo de la huella de alguno de los archivos del paquete falla o queda incompleto, cuando el servicio comun termina de procesar la solicitud, entonces el paquete no queda disponible para descarga hasta que todas las huellas y el manifiesto se completen correctamente.
5. Dado que un paquete ya fue exportado con su manifiesto, cuando alguien intenta modificar su contenido despues de exportado, entonces el sistema no ofrece ninguna forma de editar ese paquete ya exportado: cualquier cambio de alcance exige generar un paquete nuevo.
6. Dado que el servicio comun de exportacion genera un paquete para cualquier modulo, cuando el paquete se genera, entonces la bitacora de auditoria registra quien lo solicito, cuando y de que modulo u organizacion.","- Todo paquete de evidencias exportado incluye un mecanismo propio de verificacion de integridad, obligatorio y no configurable para destinos externos (02_validacion/22_anti_features.md item 25).
- El paquete calcula un manifiesto con la huella de cada archivo incluido y la huella del conjunto; al aprobarse, calcula ademas una huella o firma del paquete completo (04_secciones/13_evidencia_y_auditoria.md seccion 13.5.2).
- Un paquete ya exportado nunca se modifica: cualquier cambio de alcance exige generar un paquete nuevo (04_secciones/13_evidencia_y_auditoria.md seccion 13.5.3).
- Este servicio es agnostico del contenido: no decide que se exporta ni aplica reglas de aprobacion o de doble control propias de un modulo, eso lo define cada modulo que lo usa (por ejemplo, el doble control para destinos externos de MOD-019).","5","R1","2","HU-000-02","","Si","OBL-RET-06","","No","","04_secciones/13_evidencia_y_auditoria.md seccion 13.5.2 y 13.5.4; 02_validacion/22_anti_features.md item 25; 04_secciones/23_riesgos_del_producto.md RIESGO-SEG-05"
"HU-000-05","Historia","EP-000","Plataforma y requisitos transversales","-","Aprovisionar una organizacion cliente nueva","Equipo del producto (proveedor)","Como Equipo del producto (proveedor), quiero dar de alta la cuenta de una organizacion cliente nueva e invitar a la persona que sera su primer Administrador de la organizacion, para que esa empresa pueda empezar a usar el sistema sin depender de una tarea tecnica manual, sin registrar todavia ningun dato de facturacion.","1. Dado que el equipo del producto (proveedor) recibe un cliente nuevo con su razon social y el correo de la persona que sera su primer Administrador, cuando registra el alta, entonces el sistema crea una cuenta de organizacion vacia y envia una invitacion unica a esa persona.
2. Dado que ya existe una organizacion registrada previamente con la misma razon social o la misma identificacion tributaria, cuando el equipo del producto intenta darla de alta otra vez, entonces el sistema rechaza el alta duplicada y muestra la organizacion existente en vez de crear una nueva.
3. Dado que la invitacion al primer Administrador no se acepta dentro de 30 dias, cuando se cumple ese plazo, entonces la invitacion queda vencida y el equipo del producto puede reenviarla sin tener que dar de alta la organizacion otra vez.
4. Dado que la persona invitada acepta la invitacion, cuando confirma sus datos, entonces esa persona queda activa con el rol Administrador de la organizacion y la organizacion queda disponible para completar su alta en el modulo de Organizacion y Personas.
5. Dado que el equipo del producto completa el aprovisionamiento de una organizacion, cuando lo hace, entonces el sistema no pide ni guarda ningun dato de plan comercial, precio o facturacion, porque esa gestion se hace fuera del sistema.
6. Dado que se aprovisiona una organizacion nueva, cuando el alta se registra, entonces la bitacora de auditoria guarda quien la creo dentro del equipo del producto, la fecha y la organizacion afectada.","- El aprovisionamiento de la cuenta es un acto del equipo del producto (proveedor), distinto y anterior al asistente de onboarding que completa el Administrador dentro de MOD-003.
- La facturacion, el plan comercial y la suscripcion de la cuenta SaaS quedan fuera del alcance funcional del sistema (03_modulos/MOD-001_ficha.md seccion A).
- Una organizacion aprovisionada sin que su primer Administrador acepte la invitacion no puede operar ningun otro modulo.","3","R1","20","HU-000-02","","No","","Texto del correo de invitacion inicial al primer Administrador de una organizacion nueva","No","","03_modulos/MOD-001_ficha.md seccion A (limites) y seccion L (Entra desde MOD-003); 04_secciones/19_21_roadmap_mvp_v1_v2.md seccion 19.9"
"HU-000-06","Historia","EP-000","Plataforma y requisitos transversales","-","Iniciar sesion con credenciales propias","Usuario de consulta / Colaborador","Como Usuario de consulta / Colaborador, quiero iniciar sesion con mi correo y mi contrasena, para acceder al sistema con los permisos de mi rol o roles asignados.","1. Dado un usuario en estado Activo que ingresa su correo y su contrasena correctos, cuando confirma el inicio de sesion, entonces el sistema le da acceso con los permisos de su rol o roles asignados.
2. Dado un usuario que ingresa un correo o una contrasena incorrectos, cuando confirma el inicio de sesion, entonces el sistema deniega el acceso con un mensaje generico, sin indicar si el correo existe o si el campo equivocado fue el correo o la contrasena.
3. Dado un usuario en estado Suspendido o Dado de baja que ingresa credenciales correctas, cuando intenta iniciar sesion, entonces el sistema deniega el acceso con un mensaje generico, sin revelar el estado exacto de la cuenta.
4. Dado que un mismo correo acumula varios intentos fallidos consecutivos de inicio de sesion, cuando se supera el limite definido, entonces el sistema bloquea temporalmente los intentos desde ese correo antes de permitir uno nuevo.
5. Dado un intento de inicio de sesion, exitoso o fallido, cuando ocurre, entonces la bitacora de auditoria registra el correo utilizado, el resultado y la fecha y hora.","- El estado del usuario (Invitado, Activo, Suspendido, Dado de baja) lo administra MOD-001; esta historia solo consulta ese estado para decidir si permite el acceso.
- El sistema nunca revela, en un mensaje de error de inicio de sesion, si el correo ingresado existe o cual campo especifico fallo.
- Las Politicas de Actuacion de la ACE exigen control de acceso como medida tecnica minima (00_contexto_para_agentes.md seccion 3).","3","R1","2","HU-000-02","","No","OBL-SEG-03","","No","","00_contexto_para_agentes.md seccion 3 (Politicas ACE, medidas tecnicas); 03_modulos/MOD-001_ficha.md seccion F.2 (estados de Usuario)"
"HU-000-07","Historia","EP-000","Plataforma y requisitos transversales","-","Recuperar el acceso cuando se olvida la contrasena","Usuario de consulta / Colaborador","Como Usuario de consulta / Colaborador, quiero solicitar un enlace para restablecer mi contrasena cuando la olvido, para recuperar el acceso a mi cuenta sin depender de que el Administrador me reinvite.","1. Dado un usuario que ya no recuerda su contrasena, cuando solicita restablecerla con su correo registrado, entonces el sistema envia un enlace de un solo uso a ese correo.
2. Dado que se solicita restablecer la contrasena de un correo que no esta registrado en el sistema, cuando se envia la solicitud, entonces el sistema muestra el mismo mensaje generico de confirmacion que si el correo existiera, sin revelar si esta registrado.
3. Dado un enlace de restablecimiento vigente, cuando el usuario lo abre y define una contrasena nueva, entonces el sistema actualiza la contrasena y cierra cualquier sesion anterior de esa cuenta que siguiera activa.
4. Dado un enlace de restablecimiento ya usado o vencido por el paso del tiempo, cuando alguien intenta abrirlo de nuevo, entonces el sistema lo rechaza y pide solicitar uno nuevo.
5. Dado un usuario en estado Suspendido o Dado de baja, cuando solicita restablecer su contrasena, entonces el sistema no le entrega acceso, sin revelar el estado exacto de la cuenta.
6. Dado que se solicita o se completa un restablecimiento de contrasena, cuando ocurre cualquiera de los dos eventos, entonces la bitacora de auditoria lo registra con el correo, el resultado y la fecha y hora.","- El enlace de restablecimiento es de un solo uso y tiene una vigencia corta y definida.
- Restablecer la contrasena cierra cualquier sesion previa de esa cuenta, para que un tercero que hubiera accedido antes pierda el acceso.
- El sistema nunca revela, en la respuesta a una solicitud de recuperacion, si un correo especifico existe en la cuenta.","3","R1","20","HU-000-06, HU-000-02","","No","OBL-SEG-03","Texto del correo con el enlace de restablecimiento de contrasena","No","","00_contexto_para_agentes.md seccion 3 (Politicas ACE, medidas tecnicas)"
"HU-000-08","Historia","EP-000","Plataforma y requisitos transversales","-","Exigir doble factor de autenticacion en roles sensibles","Responsable de Seguridad / IT","Como Responsable de Seguridad / IT, quiero que el sistema exija un segundo factor de autenticacion, ademas de la contrasena, a los roles con acceso a datos de titulares o de administracion, para reforzar el control de acceso tecnico que exigen las Politicas de Actuacion de la ACE para la informacion mas sensible de cada organizacion.","1. Dado un usuario al que se le asigna por primera vez uno de los roles con acceso a datos de titulares o de administracion (Administrador de la organizacion, Delegado de Proteccion de Datos o Responsable interno, Responsable ARCO-POL, Responsable Legal / Compliance, Responsable de Seguridad / IT o Auditor interno), cuando inicia sesion despues de esa asignacion, entonces el sistema le exige configurar un segundo factor antes de continuar.
2. Dado un usuario que ya configuro su segundo factor y tiene asignado alguno de esos roles, cuando inicia sesion con su correo y su contrasena correctos, entonces el sistema le exige ademas verificar el segundo factor antes de dar acceso.
3. Dado que el segundo factor ingresado no es valido, cuando el usuario lo confirma, entonces el sistema deniega el acceso y permite reintentar dentro de un limite de intentos.
4. Dado un usuario con uno de los roles sensibles al que se le retira ese rol y no le queda ningun otro rol sensible asignado, cuando inicia sesion despues del cambio, entonces el sistema deja de exigirle el segundo factor, sin borrar su configuracion previa.
5. Dado un Administrador de la organizacion, cuando intenta desactivar la exigencia de segundo factor para su propio usuario o para otro usuario que mantiene un rol sensible, entonces el sistema no permite desactivarla mientras ese rol sensible siga asignado.
6. Dado que un usuario pierde el acceso a su segundo factor, cuando usa un codigo de respaldo de un solo uso entregado al momento de configurarlo, entonces el sistema le permite iniciar sesion y le pide configurar un segundo factor nuevo.","- Las Politicas de Actuacion de la ACE incluyen, dentro de las medidas tecnicas minimas, control de acceso con autenticacion en dos pasos (2FA) (00_contexto_para_agentes.md seccion 3; 01_legal/fuentes/ace_politicas_protecciondatos.txt).
- El conjunto de roles obligados a segundo factor es una decision de esta epica (ver notas_epica), no un listado literal de ninguna ficha.
- El segundo factor no se puede desactivar de forma administrativa mientras el usuario mantenga asignado un rol dentro del conjunto obligado.","5","R1","21","HU-000-06, HU-000-02","","No","OBL-SEG-03","","No","","00_contexto_para_agentes.md seccion 3 (Politicas ACE, medidas tecnicas); 04_secciones/11_roles_y_permisos.md seccion 11.2 (matriz de permisos por rol)"
"HU-000-09","Historia","EP-000","Plataforma y requisitos transversales","-","Cerrar la sesion automaticamente por inactividad","Usuario de consulta / Colaborador","Como Usuario de consulta / Colaborador, quiero que mi sesion se cierre sola despues de un periodo sin actividad, con un aviso previo, para que nadie mas pueda usar el sistema con mi acceso si dejo mi sesion abierta sin vigilancia.","1. Dado un usuario con sesion activa que no realiza ninguna accion durante el periodo de inactividad configurado (15 minutos, propuesta inicial), cuando se cumple ese periodo, entonces el sistema cierra la sesion de forma automatica.
2. Dado que se acerca el limite de inactividad, cuando faltan los ultimos instantes antes del cierre automatico, entonces el sistema muestra un aviso previo que permite continuar la sesion con una sola confirmacion.
3. Dado que el usuario confirma el aviso previo o realiza cualquier accion dentro del sistema, cuando lo hace, entonces el contador de inactividad se reinicia y la sesion sigue activa.
4. Dado que la sesion se cerro por inactividad, cuando el usuario quiere seguir usando el sistema, entonces debe autenticarse de nuevo con sus credenciales, incluido el segundo factor si su rol lo exige.
5. Dado un usuario que esta completando un formulario largo y sigue interactuando con la pantalla antes de guardar, cuando transcurre el periodo de inactividad configurado sin que haya guardado nada, entonces el sistema aplica el mismo cierre automatico, sin excepcion por el tipo de pantalla abierta.","- El periodo de inactividad por defecto (15 minutos) es opinion de producto sin respaldo legal expreso, ajustable por el equipo del producto dentro de un rango predefinido.
- Cerrar la sesion por inactividad es una medida tecnica de control de acceso alineada con las Politicas de Actuacion de la ACE (00_contexto_para_agentes.md seccion 3).","3","R1","21","HU-000-06","","No","OBL-SEG-03","","No","","00_contexto_para_agentes.md seccion 3 (Politicas ACE, medidas tecnicas)"
"HU-000-10","Historia","EP-000","Plataforma y requisitos transversales","-","Mostrar el descargo legal del sistema","Usuario de consulta / Colaborador","Como Usuario de consulta / Colaborador, quiero ver siempre visible un descargo que aclare que el sistema organiza y documenta mi programa de proteccion de datos, pero no constituye asesoria legal ni garantiza el cumplimiento de la ley, para entender desde el primer momento los limites de lo que el sistema hace y no confundirlo con asesoria juridica.","1. Dado cualquier usuario con sesion activa, cuando navega por el sistema, entonces encuentra siempre visible o alcanzable en un solo paso el texto de descargo general del producto.
2. Dado el texto de descargo visible, cuando el usuario quiere leerlo completo, entonces puede abrir su version completa sin salir del sistema.
3. Dado cualquier rol, incluido el Administrador de la organizacion, cuando intenta quitar el descargo de forma permanente para toda la organizacion, entonces el sistema no ofrece esa opcion.
4. Dado que el equipo de contenido del producto (proveedor) publica una version nueva del texto de descargo, cuando la publica, entonces el sistema muestra la version vigente a todos los usuarios sin que cada organizacion deba activarla.","- El sistema no debe afirmar que la empresa esta en cumplimiento de la ley ni actuar como si sustituyera asesoria juridica (02_validacion/04_objetivo_exacto_del_producto.md secciones 1.2 y 1.3).
- El texto de descargo es una propuesta de redaccion de producto, no un formato exigido por la ACE (02_validacion/04_objetivo_exacto_del_producto.md seccion 1.3).","1","R1","5","","","No","","Texto exacto del descargo legal general del producto (banner y version completa)","No","","02_validacion/04_objetivo_exacto_del_producto.md secciones 1.2 y 1.3; 02_validacion/22_anti_features.md item 22"
